Name	Orientation	Spatial Freq.	Temporal Freq.	Value
V1'0	0	0.025	1	0
V1'1	0	0.025	2	0
V1'2	0	0.025	4	0
V1'3	0	0.025	8	0
V1'4	0	0.05	1	0
V1'5	0	0.05	2	0.0695568
V1'6	0	0.05	4	0
V1'7	0	0.05	8	0
V1'8	0	0.1	1	0
V1'9	0	0.1	2	0.00875933
V1'10	0	0.1	4	0
V1'11	0	0.1	8	0
V1'12	0	0.2	1	0
V1'13	0	0.2	2	0
V1'14	0	0.2	4	0
V1'15	0	0.2	8	0
V1'16	11.25	0.025	1	0
V1'17	11.25	0.025	2	0
V1'18	11.25	0.025	4	0
V1'19	11.25	0.025	8	0
V1'20	11.25	0.05	1	0
V1'21	11.25	0.05	2	0.0329317
V1'22	11.25	0.05	4	0
V1'23	11.25	0.05	8	0
V1'24	11.25	0.1	1	0
V1'25	11.25	0.1	2	0.0186336
V1'26	11.25	0.1	4	0
V1'27	11.25	0.1	8	0
V1'28	11.25	0.2	1	0
V1'29	11.25	0.2	2	0
V1'30	11.25	0.2	4	0
V1'31	11.25	0.2	8	0
V1'32	22.5	0.025	1	0
V1'33	22.5	0.025	2	0
V1'34	22.5	0.025	4	0
V1'35	22.5	0.025	8	0
V1'36	22.5	0.05	1	0
V1'37	22.5	0.05	2	0.0146917
V1'38	22.5	0.05	4	0
V1'39	22.5	0.05	8	0
V1'40	22.5	0.1	1	0
V1'41	22.5	0.1	2	0.045956
V1'42	22.5	0.1	4	0
V1'43	22.5	0.1	8	0
V1'44	22.5	0.2	1	0
V1'45	22.5	0.2	2	0
V1'46	22.5	0.2	4	0
V1'47	22.5	0.2	8	0
V1'48	33.75	0.025	1	0
V1'49	33.75	0.025	2	0
V1'50	33.75	0.025	4	0
V1'51	33.75	0.025	8	0
V1'52	33.75	0.05	1	0
V1'53	33.75	0.05	2	0.0079018
V1'54	33.75	0.05	4	0
V1'55	33.75	0.05	8	0
V1'56	33.75	0.1	1	0
V1'57	33.75	0.1	2	0.108502
V1'58	33.75	0.1	4	0
V1'59	33.75	0.1	8	0
V1'60	33.75	0.2	1	0
V1'61	33.75	0.2	2	0
V1'62	33.75	0.2	4	0
V1'63	33.75	0.2	8	0
V1'64	45	0.025	1	0
V1'65	45	0.025	2	0
V1'66	45	0.025	4	0
V1'67	45	0.025	8	0
V1'68	45	0.05	1	0
V1'69	45	0.05	2	0.00875933
V1'70	45	0.05	4	0
V1'71	45	0.05	8	0
V1'72	45	0.1	1	0
V1'73	45	0.1	2	0.23126
V1'74	45	0.1	4	0
V1'75	45	0.1	8	0
V1'76	45	0.2	1	0
V1'77	45	0.2	2	0
V1'78	45	0.2	4	0
V1'79	45	0.2	8	0
V1'80	56.25	0.025	1	0
V1'81	56.25	0.025	2	0
V1'82	56.25	0.025	4	0
V1'83	56.25	0.025	8	0
V1'84	56.25	0.05	1	0
V1'85	56.25	0.05	2	0.0186336
V1'86	56.25	0.05	4	0
V1'87	56.25	0.05	8	0
V1'88	56.25	0.1	1	0
V1'89	56.25	0.1	2	0.430599
V1'90	56.25	0.1	4	0
V1'91	56.25	0.1	8	0
V1'92	56.25	0.2	1	0
V1'93	56.25	0.2	2	0
V1'94	56.25	0.2	4	0
V1'95	56.25	0.2	8	0
V1'96	67.5	0.025	1	0
V1'97	67.5	0.025	2	0
V1'98	67.5	0.025	4	0
V1'99	67.5	0.025	8	0
V1'100	67.5	0.05	1	0
V1'101	67.5	0.05	2	0.045956
V1'102	67.5	0.05	4	0
V1'103	67.5	0.05	8	0
V1'104	67.5	0.1	1	0
V1'105	67.5	0.1	2	0.68347
V1'106	67.5	0.1	4	0
V1'107	67.5	0.1	8	0
V1'108	67.5	0.2	1	0
V1'109	67.5	0.2	2	0
V1'110	67.5	0.2	4	0
V1'111	67.5	0.2	8	0
V1'112	78.75	0.025	1	0
V1'113	78.75	0.025	2	0
V1'114	78.75	0.025	4	0
V1'115	78.75	0.025	8	0
V1'116	78.75	0.05	1	0
V1'117	78.75	0.05	2	0.108502
V1'118	78.75	0.05	4	0
V1'119	78.75	0.05	8	0
V1'120	78.75	0.1	1	0
V1'121	78.75	0.1	2	0.908412
V1'122	78.75	0.1	4	0
V1'123	78.75	0.1	8	0
V1'124	78.75	0.2	1	0
V1'125	78.75	0.2	2	0
V1'126	78.75	0.2	4	0
V1'127	78.75	0.2	8	0
V1'128	90	0.025	1	0
V1'129	90	0.025	2	0
V1'130	90	0.025	4	0
V1'131	90	0.025	8	0
V1'132	90	0.05	1	0
V1'133	90	0.05	2	0.23126
V1'134	90	0.05	4	0
V1'135	90	0.05	8	0
V1'136	90	0.1	1	0
V1'137	90	0.1	2	1.00001
V1'138	90	0.1	4	0
V1'139	90	0.1	8	0
V1'140	90	0.2	1	0
V1'141	90	0.2	2	0
V1'142	90	0.2	4	0
V1'143	90	0.2	8	0
V1'144	101.25	0.025	1	0
V1'145	101.25	0.025	2	0
V1'146	101.25	0.025	4	0
V1'147	101.25	0.025	8	0
V1'148	101.25	0.05	1	0
V1'149	101.25	0.05	2	0.430599
