MT_Neuron Name       :	SIM:MT'0	SIM:MT'1	SIM:MT'2	SIM:MT'3	SIM:MT'4	SIM:MT'5	SIM:MT'6	SIM:MT'7
Preferred Orientation:	0	45	90	135	180	225	270	315
0	0	0	0	0	0	0	0	0
1	0	0.00162148	0.0055588	0.0055588	0.00162148	0	0	0
2	0	0.00405307	0.0139042	0.0139078	0.00405532	0	0	0
3	0	0.00770954	0.0264792	0.0264933	0.00771849	0	0	0
4	0	0.0132303	0.0455302	0.0455682	0.0132544	0	0	0
5	0	0.0216167	0.0746249	0.074711	0.021671	0	0	0
6	0	0.0344709	0.119586	0.119764	0.0345821	0	0	0
7	0	0.0544355	0.190272	0.19062	0.0546502	0	0	0
8	0	0.0860474	0.304179	0.304835	0.0864469	0	0	0
9	0	0.137489	0.494061	0.495281	0.138215	0	0	0
10	0	0.22425	0.823988	0.826251	0.225555	0	0	0
11	0	0.375775	1.41512	1.41931	0.378106	0	0	0
12	0	0.636606	2.41176	2.41921	0.640687	0	0	0
13	0	1.01032	3.58567	3.59762	1.0169	0	0	0
14	0	1.37575	4.14711	4.16571	1.38559	0	0	0
15	0	1.58961	3.78457	3.81352	1.60724	0	0	0
16	0	1.6009	2.8431	2.88443	1.63617	0	0	0
17	0	1.4727	2.03732	2.098	1.53811	0	0	0
18	0	1.30397	1.54484	1.62825	1.38944	0	0	0
19	0	1.11012	1.21017	1.31948	1.21371	0	0	0
20	0	0.907087	0.942075	1.0874	1.06302	0	0	0
21	0	0.759519	0.789906	0.957148	0.98104	0	0	0
22	0	0.626486	0.626125	0.779177	0.755159	0	0	0
23	0	0.605968	0.529502	0.690203	0.520742	0	0	0
24	0	0.533199	0.460619	0.690035	0.509985	0	0	0
25	0	0.252307	0.321211	0.633323	0.580394	0	0	0
26	0	0	0.135731	0.480573	0.560409	0.0966837	0	0
27	0	0	0.0416128	0.300538	0.585205	0.337128	0	0
28	0	0	0.00954557	0.184507	0.594937	0.449679	0	0
29	0	0	0.00167451	0.092794	0.360355	0.313878	0	0
30	0	0	0.000488577	0.0250995	0.105506	0.106446	0	0
31	0	0	0.000325229	0.00453822	0.0173454	0.0182374	0	0
32	0	0	0.000300796	0.00135229	0.00292222	0.00252149	0	0
33	0	0	0.000297088	0.000941706	0.00104397	0.000444241	0	0
34	0	0	0.00029654	0.000890236	0.000808149	0.00018304	0	0
35	0	0	0.000296461	0.000883806	0.000778679	0.000150408	0	0
36	0	0	0.000296449	0.000883004	0.000774999	0.000146335	0	0
37	0	0	0.000296448	0.000882903	0.000774539	0.000145827	0	0
38	0	0	0.000296448	0.000882891	0.000774482	0.000145763	0	0
39	0	0	0.000296448	0.000882889	0.000774474	0.000145755	0	0
40	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
41	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
42	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
43	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
44	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
45	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
46	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
47	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
48	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
49	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
50	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
51	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
52	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
53	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
54	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
55	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
56	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
57	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
58	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
59	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
60	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
61	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
62	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
63	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
64	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
65	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
66	0	0	0.000296448	0.000882889	0.000774473	0.000145754	0	0
